Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Topic
"MegaBank requires a private connection to AWS with guaranteed bandwidth and predictable network performance for their trading applications. They cannot tolerate internet routing variability. Which connectivity solution should they implement?","Site-to-Site VPN","Internet Gateway","Direct Connect","Transit Gateway",C,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"A healthcare organization needs to design a VPC architecture that separates patient data processing from administrative systems while allowing controlled access between environments. What design approach should they use?","Single VPC with mixed subnets","Multi-VPC architecture with controlled connectivity","Public subnets only","Single availability zone design",B,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"SportingEvents.com experiences traffic spikes during major games and needs to route users to the closest AWS region for optimal performance. They require automatic failover if a region becomes unavailable. Which Route 53 feature should they configure?","Weighted routing policy","Geoproximity routing with health checks","Simple routing policy","Multivalue answer routing",B,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"A logistics company operates across 5 AWS regions and needs to connect 20+ VPCs with centralized routing and simplified network management. What architecture provides the most efficient solution?","Full mesh VPC peering","Regional Transit Gateways","Site-to-Site VPN mesh","Direct Connect gateways",B,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"An API company wants to allow external partners to access their internal services without exposing traffic to the public internet. They need service-to-service communication within AWS network. Which service enables this?","Application Load Balancer","API Gateway","VPC Endpoint with PrivateLink","Internet Gateway",C,"Cloud Introduction,VPC design, Transit Gateway, PrivateLink"
"NewsPortal experiences massive traffic during breaking news events, scaling from 50 to 5000 instances within 10 minutes. They need cost optimization during low traffic periods. Which strategy minimizes costs while ensuring availability?","Reserved Instances with fixed capacity","Spot Instances with Auto Scaling Groups","On-Demand with manual scaling","Dedicated Hosts with auto-scaling",B,"EC2, Auto Scaling, Elastic Load Balancing"
"A microservices platform needs intelligent request routing based on URL paths and host headers, with SSL/TLS termination. They require advanced routing capabilities. Which load balancer type should they deploy?","Network Load Balancer","Gateway Load Balancer","Application Load Balancer","Classic Load Balancer",C,"EC2, Auto Scaling, Elastic Load Balancing"
"ContainerShipping runs Docker containers and needs managed Kubernetes with automatic patching and scaling without managing control plane infrastructure. Which service provides this?","ECS with EC2 launch type","Self-managed Kubernetes on EC2","EKS with Fargate","Docker Swarm on EC2",C,"Containers: ECS, EKS, Fargate"
"ImageResizer processes uploaded images from S3 events, with processing time varying from 10 seconds to 2 minutes. They want to eliminate server management completely. What's the optimal solution?","ECS tasks","EC2 instances","AWS Lambda","Batch jobs",C,"Serverless: Lambda, Step Functions"
"A data pipeline needs to orchestrate multiple services including data validation, transformation, error handling, and notification workflows with visual monitoring. Which service provides workflow orchestration?","Lambda functions with SQS","AWS Step Functions","EventBridge rules","SQS with SNS",B,"Serverless: Lambda, Step Functions"
